"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 21:53:40 EDT 2023","Fri Jul 28 21:53:41 EDT 2023","667","","Validate admin is able to delete all added persons: To validate admin is able to delete entire persons","","","","",""
"passed","Fri Jul 28 21:53:34 EDT 2023","Fri Jul 28 21:53:35 EDT 2023","660","","To Validate Task Features of CRM: To validate user is able to delete all Tasks","","","","",""
"passed","Fri Jul 28 21:53:30 EDT 2023","Fri Jul 28 21:53:30 EDT 2023","3","","To Validate Task Features of CRM: To validate user is able to delete all Tasks","","","","Given user logsIn",""
"passed","Fri Jul 28 22:01:10 EDT 2023","Fri Jul 28 22:01:10 EDT 2023","2","","To Validate Login Functionality: To Validate that we are able to add person in CRM","","","","Given user logsIn",""
"passed","Fri Jul 28 21:53:39 EDT 2023","Fri Jul 28 21:53:40 EDT 2023","1446","","Validate admin is able to delete all added persons: To validate admin is able to delete entire persons","","","","Then user should able to delete all added persons",""
"failed","Fri Jul 28 22:00:58 EDT 2023","Fri Jul 28 22:01:08 EDT 2023","10254","","To Validate Login Functionality: To Validate that we are able to add person in CRM","","","","Then validate the ""Mrs"" ""Developer"" ""Plato"" of added person",""
"passed","Fri Jul 28 21:53:21 EDT 2023","Fri Jul 28 21:53:28 EDT 2023","7151","","To Validate Task Features of CRM: To validate user is able to Add Task","","","","Then user is able to add task with following information",""
"passed","Fri Jul 28 21:53:28 EDT 2023","Fri Jul 28 21:53:29 EDT 2023","750","","To Validate Task Features of CRM: To validate user is able to Add Task","","","","",""
"failed","Fri Jul 28 22:01:12 EDT 2023","Fri Jul 28 22:01:23 EDT 2023","10715","","To Validate Login Functionality: To Validate that we are able to add person in CRM","","","","Then validate the ""Mr"" ""Tester"" ""Wipro"" of added person",""
"passed","Fri Jul 28 21:53:39 EDT 2023","Fri Jul 28 21:53:39 EDT 2023","96","","Validate admin is able to delete all added persons: To validate admin is able to delete entire persons","","","","When user navigates to People and Organization",""
"passed","Fri Jul 28 22:01:23 EDT 2023","Fri Jul 28 22:01:23 EDT 2023","671","","To Validate Login Functionality: To Validate that we are able to add person in CRM","","","","",""
"passed","Fri Jul 28 21:53:30 EDT 2023","Fri Jul 28 21:53:31 EDT 2023","780","","To Validate Task Features of CRM: To validate user is able to delete all Tasks","","","","When user clicks on Calender & Tasks",""
"passed","Fri Jul 28 21:53:39 EDT 2023","Fri Jul 28 21:53:39 EDT 2023","3","","Validate admin is able to delete all added persons: To validate admin is able to delete entire persons","","","","Given user logsIn",""
"passed","Fri Jul 28 22:00:55 EDT 2023","Fri Jul 28 22:00:58 EDT 2023","2612","","To Validate Login Functionality: To Validate that we are able to add person in CRM","","","","When user AddPerson with ""Mrs"" ""Developer"" ""Plato"" ""Learn SpringBoot""",""
"passed","Fri Jul 28 21:53:20 EDT 2023","Fri Jul 28 21:53:21 EDT 2023","779","","To Validate Task Features of CRM: To validate user is able to Add Task","","","","When user clicks on AddTask",""
"passed","Fri Jul 28 21:53:20 EDT 2023","Fri Jul 28 21:53:20 EDT 2023","5","","To Validate Task Features of CRM: To validate user is able to Add Task","","","","Given user logsIn",""
"passed","Fri Jul 28 22:01:10 EDT 2023","Fri Jul 28 22:01:12 EDT 2023","2256","","To Validate Login Functionality: To Validate that we are able to add person in CRM","","","","When user AddPerson with ""Mr"" ""Tester"" ""Wipro"" ""Learn Cypress""",""
"passed","Fri Jul 28 21:53:31 EDT 2023","Fri Jul 28 21:53:34 EDT 2023","3013","","To Validate Task Features of CRM: To validate user is able to delete all Tasks","","","","Then user should be able to delete all Task",""
